Inicio do processamento
Dado: Odd= 3.35 , minuto= 860 , W/L= 0
Dado: Odd= 3.35 , minuto= 855 , W/L= 0
Dado: Odd= 3.25 , minuto= 854 , W/L= 0
Dado: Odd= 3.25 , minuto= 848 , W/L= 0
Dado: Odd= 3.25 , minuto= 826 , W/L= 0
Dado: Odd= 3.35 , minuto= 812 , W/L= 0
Dado: Odd= 3.35 , minuto= 812 , W/L= 0
Dado: Odd= 3.35 , minuto= 812 , W/L= 0
Dado: Odd= 3.35 , minuto= 812 , W/L= 0
Dado: Odd= 3.35 , minuto= 812 , W/L= 0
Dado: Odd= 3.3 , minuto= 802 , W/L= 0
Dado: Odd= 3.3 , minuto= 798 , W/L= 0
Dado: Odd= 3.35 , minuto= 795 , W/L= 0
Dado: Odd= 3.35 , minuto= 795 , W/L= 0
Dado: Odd= 3.35 , minuto= 795 , W/L= 0
Dado: Odd= 3.35 , minuto= 795 , W/L= 0
Dado: Odd= 3.4 , minuto= 784 , W/L= 0
Dado: Odd= 3.5 , minuto= 779 , W/L= 0
Dado: Odd= 3.5 , minuto= 779 , W/L= 0
Dado: Odd= 3.5 , minuto= 775 , W/L= 0
Dado: Odd= 3.5 , minuto= 775 , W/L= 0
Dado: Odd= 3.5 , minuto= 775 , W/L= 0
Dado: Odd= 3.55 , minuto= 763 , W/L= 0
Dado: Odd= 3.55 , minuto= 763 , W/L= 0
Dado: Odd= 3.45 , minuto= 757 , W/L= 0
Dado: Odd= 3.0 , minuto= 753 , W/L= 0
Dado: Odd= 3.5 , minuto= 748 , W/L= 0
Dado: Odd= 3.55 , minuto= 747 , W/L= 0
Dado: Odd= 3.55 , minuto= 747 , W/L= 0
Dado: Odd= 3.55 , minuto= 747 , W/L= 0
Dado: Odd= 3.55 , minuto= 744 , W/L= 0
Dado: Odd= 3.55 , minuto= 744 , W/L= 0
Dado: Odd= 3.45 , minuto= 742 , W/L= 0
Dado: Odd= 3.55 , minuto= 731 , W/L= 0
Dado: Odd= 3.55 , minuto= 727 , W/L= 0
Dado: Odd= 3.5 , minuto= 722 , W/L= 0
Dado: Odd= 3.5 , minuto= 719 , W/L= 0
Dado: Odd= 3.5 , minuto= 717 , W/L= 0
Dado: Odd= 3.65 , minuto= 715 , W/L= 0
Dado: Odd= 3.65 , minuto= 715 , W/L= 0
Dado: Odd= 3.65 , minuto= 715 , W/L= 0
Dado: Odd= 3.65 , minuto= 710 , W/L= 0
Dado: Odd= 3.65 , minuto= 702 , W/L= 0
Dado: Odd= 3.7 , minuto= 699 , W/L= 0
Dado: Odd= 3.7 , minuto= 699 , W/L= 0
Dado: Odd= 3.7 , minuto= 699 , W/L= 0
Dado: Odd= 3.7 , minuto= 691 , W/L= 0
Dado: Odd= 3.5 , minuto= 687 , W/L= 0
Dado: Odd= 3.5 , minuto= 683 , W/L= 0
Dado: Odd= 3.5 , minuto= 683 , W/L= 0
Dado: Odd= 3.5 , minuto= 683 , W/L= 0
Dado: Odd= 3.6 , minuto= 667 , W/L= 0
Dado: Odd= 3.6 , minuto= 648 , W/L= 0
Dado: Odd= 3.7 , minuto= 629 , W/L= 0
Dado: Odd= 3.7 , minuto= 609 , W/L= 0
Dado: Odd= 3.7 , minuto= 591 , W/L= 0
Dado: Odd= 3.7 , minuto= 587 , W/L= 0
Dado: Odd= 3.7 , minuto= 578 , W/L= 0
Dado: Odd= 3.65 , minuto= 564 , W/L= 0
Dado: Odd= 3.65 , minuto= 539 , W/L= 0
Dado: Odd= 3.6 , minuto= 530 , W/L= 0
Dado: Odd= 3.6 , minuto= 524 , W/L= 0
Dado: Odd= 3.6 , minuto= 519 , W/L= 0
Dado: Odd= 3.6 , minuto= 519 , W/L= 0
